_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4678,13465959.0,Richmond St E,Parliament St,1,315768.179,4834966.252,-79.364023,43.654559000000006,1,"{u'type': u'Point', u'coordinates': (-79.3640229982, 43.6545590111)}",,,,2007-11-09T05:00:00,,PARLIAMENT ST,RICHMOND ST E,PARLIAMENT ST,1,,223,,51,Toronto Centre(13),,,,Richmond St E And Parliament St,Toronto and East York,6001,RICHMOND ST E
4679,13467993.0,Lake Shore Blvd W,York St,2,314411.515,4833508.938999999,-79.380868,43.641459999999995,2,"{u'type': u'Point', u'coordinates': (-79.3808680071, 43.6414600022)}",,,,2007-11-09T05:00:00,,YORK ST,LAKE SHORE BLVD W,YORK ST,2,,205,WB LAKE SHORE BLVD,52,Spadina-Fort York(10),,,,Lake Shore Blvd W And York St,Toronto and East York,6002,LAKE SHORE BLVD W
4680,13444656.0,Steeles Ave W,Carpenter Rd,3,309017.922,4850229.154,-79.44758900000001,43.792013,3,"{u'type': u'Point', u'coordinates': (-79.447588999, 43.7920130014)}",,,,2007-11-09T05:00:00,PRIVATE ACCESS,CARPENTER RD,STEELES AVE W,CARPENTER RD,3,SHOPPING CENTRE,1564,,32,York Centre(6),,,,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,North York,6003,STEELES AVE W
4681,13444138.0,Steeles Ave W,Hilda Ave,4,310492.057,4850673.973,-79.42926700000001,43.796007,4,"{u'type': u'Point', u'coordinates': (-79.4292670009, 43.7960070063)}",,,,2007-11-09T05:00:00,,HILDA AVE,STEELES AVE W,HILDA AVE,4,,1115,,32,Willowdale(18),,,,Steeles Ave W And Hilda Ave,North York,6004,STEELES AVE W
4682,13451893.0,Albion Rd,Silverstone Dr,5,296738.06899999996,4844782.178,-79.600094,43.742952,5,"{u'type': u'Point', u'coordinates': (-79.6000939933, 43.7429520013)}",,,,2007-11-09T05:00:00,,SILVERSTONE DR,ALBION RD,SILVERSTONE DR,5,,1156,,23,Etobicoke North(1),,,,Albion Rd And Silverstone Dr,Etobicoke York,6005,ALBION RD
4683,13459576.0,Dixon Rd,Kipling Ave,6,300072.37,4839368.29,-79.558649,43.694249,6,"{u'type': u'Point', u'coordinates': (-79.5586490059, 43.6942490045)}",,,,2008-03-18T04:00:00,,KIPLING AVE,DIXON RD,KIPLING AVE,6,,435,,23,Etobicoke North(1),,Etobicoke Centre(2),,Dixon Rd And Kipling Ave,Etobicoke York,6007,DIXON RD
4684,13448601.0,Steeles Ave W,Islington Ave,7,298771.768,4847156.495,-79.574871,43.764343,7,"{u'type': u'Point', u'coordinates': (-79.5748709931, 43.7643430031)}",,,,2008-10-28T04:00:00,,ISLINGTON AVE,STEELES AVE W,ISLINGTON AVE,7,,1208,,31,Humber River-Black Creek(7),,,,Steeles Ave W And Islington Ave,Etobicoke York,6008,STEELES AVE W
4685,13450231.0,Sheppard Ave W,Wilson Heights Blvd,8,308282.925,4845745.977,-79.456751,43.751663,8,"{u'type': u'Point', u'coordinates': (-79.4567510019, 43.751663001)}",,,,2009-03-17T04:00:00,,WILSON HEIGHTS BLVD,SHEPPARD AVE W,WILSON HEIGHTS BLVD,8,,631,,32,York Centre(6),,,,Sheppard Ave W And Wilson Heights Blvd,North York,6009,SHEPPARD AVE W
4686,13449607.0,Bathurst St,Sheppard Ave W,9,309753.93,4846168.518,-79.43848100000001,43.755458000000004,9,"{u'type': u'Point', u'coordinates': (-79.4384810044, 43.7554580029)}",,,,2007-11-09T05:00:00,,SHEPPARD AVE W,BATHURST ST,SHEPPARD AVE W,9,,672,,32,York Centre(6),,,,Bathurst St And Sheppard Ave W,North York,6010,BATHURST ST
4687,13455749.0,Lawrence Ave W,Marlee Ave,10,309109.43100000004,4841741.672,-79.44651999999999,43.715615,10,"{u'type': u'Point', u'coordinates': (-79.4465200053, 43.7156150035)}",,13.0,,2008-03-19T04:00:00,PRIVATE ACCESS,MARLEE AVE,LAWRENCE AVE W,MARLEE AVE,10,LAWRENCE SQUARE ACCESS,425,,32,Eglinton-Lawrence(8),,,,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,North York,6011,LAWRENCE AVE W
4688,13455135.0,Bathurst St,Lawrence Ave W,11,310455.102,4842147.397,-79.429816,43.719258,11,"{u'type': u'Point', u'coordinates': (-79.4298159904, 43.7192580018)}",,13.0,53.0,2008-08-11T04:00:00,,LAWRENCE AVE W,BATHURST ST,LAWRENCE AVE W,11,,423,,32,Eglinton-Lawrence(8),,,,Bathurst St And Lawrence Ave W,North York,6012,BATHURST ST
4689,13444532.0,Bayview Ave,Cummer Ave,12,313363.119,4850264.873,-79.393596,43.792297,12,"{u'type': u'Point', u'coordinates': (-79.393596004, 43.7922969999)}",,32.0,,2009-03-17T04:00:00,,CUMMER AVE,BAYVIEW AVE,CUMMER AVE,12,,651,,33,Willowdale(18),,Don Valley North(17),,Bayview Ave And Cummer Ave,North York,6013,BAYVIEW AVE
4690,13445882.0,Finch Ave E,Willowdale Ave,13,312277.28,4849077.938,-79.407105,43.781625,13,"{u'type': u'Point', u'coordinates': (-79.4071050001, 43.7816250044)}",,,,2009-03-17T04:00:00,,WILLOWDALE AVE,FINCH AVE E,WILLOWDALE AVE,13,,807,,32,Willowdale(18),,,,Finch Ave E And Willowdale Ave,North York,6014,FINCH AVE E
4691,13452717.0,Leslie St,Lawrence Ave E,14,316401.596,4843852.294,-79.355979,43.734535,14,"{u'type': u'Point', u'coordinates': (-79.3559789976, 43.7345350021)}",,,,2008-05-29T04:00:00,,LAWRENCE AVE E,LESLIE ST,LAWRENCE AVE E,14,,400,,33,Don Valley West(15),,Don Valley East(16),,Leslie St And Lawrence Ave E,North York,6015,LESLIE ST
4692,13449822.0,Leslie St,York Mills Rd,15,316076.644,4845898.023,-79.35996999999999,43.752953999999995,15,"{u'type': u'Point', u'coordinates': (-79.3599699911, 43.7529540025)}",,,,2009-08-05T04:00:00,,YORK MILLS RD,LESLIE ST,YORK MILLS RD,15,,755,,33,Don Valley West(15),,Don Valley East(16),,Leslie St And York Mills Rd,North York,6016,LESLIE ST
4693,13448765.0,Bayview Ave,Truman Rd,16,313928.145,4846742.627,-79.386635,43.760585999999996,16,"{u'type': u'Point', u'coordinates': (-79.3866350029, 43.7605860032)}",,32.0,,2008-03-31T04:00:00,FIFESHIRE RD,TRUMAN RD,BAYVIEW AVE,TRUMAN RD,16,,1083,,33,Don Valley West(15),,,,Bayview Ave And Truman Rd / Fifeshire Rd,North York,6017,BAYVIEW AVE
4694,14038170.0,Midland Ave,McNicoll Ave,17,321515.54600000003,4852755.714,-79.292218,43.814578000000004,17,"{u'type': u'Point', u'coordinates': (-79.2922180081, 43.8145780077)}",,,,2008-10-09T04:00:00,,MCNICOLL AVE,MIDLAND AVE,MCNICOLL AVE,17,,1540,,42,Scarborough-Agincourt(22),,Scarborough North(23),,Midland Ave And Mcnicoll Ave,Scarborough,6018,MIDLAND AVE
4695,13441903.0,Steeles Ave E,Birchmount Rd,18,319526.255,4853508.039,-79.316925,43.821391999999996,18,"{u'type': u'Point', u'coordinates': (-79.3169249962, 43.821392004)}",,,,2009-03-17T04:00:00,,BIRCHMOUNT RD,STEELES AVE E,BIRCHMOUNT RD,18,,1363,,42,Scarborough-Agincourt(22),,,,Steeles Ave E And Birchmount Rd,Scarborough,6019,STEELES AVE E
4696,13446799.0,Warden Ave,Arkona Dr,19,320469.463,4848143.835,-79.305356,43.773089,19,"{u'type': u'Point', u'coordinates': (-79.30535601, 43.7730890055)}",,,,2008-08-11T04:00:00,CLOVERLEAF GT,ARKONA DR,WARDEN AVE,ARKONA DR,19,,927,,42,Scarborough-Agincourt(22),,,,Warden Ave And Arkona Dr / Cloverleaf Gt,Scarborough,6020,WARDEN AVE
