,Hood_ID,Neighbourhood,Number of Red Lights
0,14,Islington-City Centre West (14),7
1,1,West Humber-Clairville (1),6
2,116,Steeles (116),6
3,137,Woburn (137),6
4,77,Waterfront Communities-The Island (77),6
5,132,Malvern (132),5
6,76,Bay Street Corridor (76),5
7,26,Downsview-Roding-CFB (26),4
8,73,Moss Park (73),4
9,42,Banbury-Don Mills (42),3
10,130,Milliken (130),3
11,17,Mimico (includes Humber Bay Shores) (17),3
12,120,Clairlea-Birchmount (120),3
13,126,Dorset Park (126),3
14,21,Humber Summit (21),3
15,3,Thistletown-Beaumond Heights (3),2
16,31,Yorkdale-Glen Park (31),2
17,7,Willowridge-Martingrove-Richview (7),2
18,138,Eglinton East (138),2
19,86,Roncesvalles (86),2
20,129,Agincourt North (129),2
21,16,Stonegate-Queensway (16),2
22,63,The Beaches (63),2
23,33,Clanton Park (33),2
24,47,Don Valley Village (47),2
25,34,Bathurst Manor (34),2
26,96,Casa Loma (96),2
27,118,Tam O'Shanter-Sullivan (118),2
28,131,Rouge (131),2
29,70,South Riverdale (70),2
30,30,Brookhaven-Amesbury (30),2
31,85,South Parkdale (85),2
32,36,Newtonbrook West (36),2
33,93,Dovercourt-Wallace Emerson-Junction (93),2
34,87,High Park-Swansea (87),1
35,51,Willowdale East (51),1
36,40,St.Andrew-Windfields (40),1
37,19,Long Branch (19),1
38,38,Lansing-Westgate (38),1
39,122,Birchcliffe-Cliffside (122),1
40,32,Englemount-Lawrence (32),1
41,101,Forest Hill South (101),1
42,39,Bedford Park-Nortown (39),1
43,49,Bayview Woods-Steeles (49),1
44,10,Princess-Rosethorn (10),1
45,128,Agincourt South-Malvern West (128),1
46,54,O'Connor-Parkview (54),1
47,8,Humber Heights-Westmount (8),1
48,119,Wexford/Maryvale (119),1
49,134,Highland Creek (134),1
50,123,Cliffcrest (123),1
51,27,York University Heights (27),1
52,28,Rustic (28),1
53,103,Lawrence Park South (103),1
54,90,Junction Area (90),1
55,75,Church-Yonge Corridor (75),1
56,46,Pleasant View (46),1
57,80,Palmerston-Little Italy (80),1
58,117,L'Amoreaux (117),1
59,110,Keelesdale-Eglinton West (110),1
60,25,Glenfield-Jane Heights (25),1
61,65,Greenwood-Coxwell (65),1
62,113,Weston (113),1
63,72,Regent Park (72),1
64,127,Bendale (127),1
65,133,Centennial Scarborough (133),1
66,115,Mount Dennis (115),1
67,136,West Hill (136),1
68,78,Kensington-Chinatown (78),1
69,82,Niagara (82),1
70,55,Thorncliffe Park (55),1
71,12,Markland Wood (12),1
72,24,Black Creek (24),1
73,52,Bayview Village (52),1
74,35,Westminster-Branson (35),1
75,6,Kingsview Village-The Westway (6),1
76,111,Rockcliffe-Smythe (111),1
