,Hood_ID,Neighbourhood,Number of Stores
0,76,bay street corridor,26
1,77,waterfront communities-the island,19
2,75,church-yonge corridor,8
3,14,islington-city centre west,8
4,95,annex,7
5,104,mount pleasant west,6
6,82,niagara,5
7,98,rosedale-moore park,4
8,63,the beaches,4
9,126,dorset park,3
10,55,thorncliffe park,3
11,42,banbury-don mills,3
12,56,leaside-bennington,3
13,16,stonegate-queensway,3
14,52,bayview village,3
15,27,york university heights,3
16,73,moss park,3
17,31,yorkdale-glen park,3
18,17,mimico,2
19,67,playter estates-danforth,2
20,51,willowdale east,2
21,62,east end-danforth,2
22,103,lawrence park south,2
23,39,bedford park-nortown,2
24,101,forest hill south,2
25,78,kensington-chinatown,2
26,12,markland wood,2
27,84,little portugal,2
28,131,rouge,1
29,127,bendale,1
30,58,old east york,1
31,1,west humber-clairville,1
32,36,newtonbrook west,1
33,93,dovercourt-wallace emerson-junction,1
34,40,st.andrew-windfields,1
35,130,milliken,1
36,11,eringate-centennial-west deane,1
37,111,rockcliffe-smythe,1
38,136,west hill,1
39,15,kingsway south,1
40,81,trinity-bellwoods,1
41,10,princess-rosethorn,1
42,34,bathurst manor,1
43,70,south riverdale,1
44,85,south parkdale,1
45,108,briar hill-belgravia,1
46,37,willowdale west,1
47,89,runnymede-bloor west village,1
48,102,forest hill north,1
49,33,clanton park,1
50,6,kingsview village-the westway,1
51,88,high park north,1
52,66,danforth,1
53,19,long branch,1
54,96,casa loma,1
55,83,dufferin grove,1
56,139,scarborough village,1
57,47,don valley village,1
58,94,wychwood,1
59,9,edenbridge-humber valley,1
60,118,tam o'shanter-sullivan,1
61,100,yonge-eglinton,1
62,105,lawrence park north,1
63,65,greenwood-coxwell,1
64,97,yonge-st.clair,1
65,119,wexford/maryvale,1
66,90,junction area,1
67,32,englemount-lawrence,1
68,86,roncesvalles,1
69,50,newtonbrook east,1
70,122,birchcliffe-cliffside,1
71,128,agincourt south-malvern west,1
