,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,Neighbourhood_x,"Population, 2016",Home Prices,Social Housing as a Percentage of Households,Social Housing Waitlist as a Percentage of Social Housing,Census Residents per Private dwellings,Percentage of Housing Single-detached,Percentage of Housing Apartments,Percentage of Housing Attached,Percentage of 1-person Households,Percentage of 2-person Households,Percentage of 3-person or More Households,Percentage of Households with Income < 10k,Percentage of Households with Income < 20k,Percentage of Households with Income < 30k,Percentage of Households with Income > 150k,Percentage of Households with Income > 200k,Percentage of Unsuitable Housing,Percentage of Dwellings Built in 1960 or Before,Percentage of Dwellings Built in 1990 or Before,Percentage of Dwellings Built in 2005 or Before,Percentage of Dwellings Built in 1991 or After,Percentage of Dwellings Built in 2006 or After,Percentage of Dwellings Requiring Only Regular Maintenance or Minor Repairs,Percentage of Households with Maintainer aged 34 and under,Percentage of Households with Maintainer aged 65 and older,Percentage of Households Spending over 30% of Income on Shelter,Speeding,Income Group
0,South Parkdale,85,1148.8,91.5,407.3,4.6,151.0,100.7,317.32,35601.0,46896.0,1.0,2.0,South Parkdale,21849.0,500054.0,12.78444352503103,0.7728155339805826,1.8079437318990483,1.7559262510974538,91.74714661984196,6.321334503950834,51.229148375768226,29.499561018437227,19.271290605794558,6.938954765041722,23.935002195871764,36.802810715854186,5.0065876152832685,2.1080368906455864,0.15891132572431954,42.47476963580518,81.30759104870558,87.71390960947784,18.648530057042564,12.242211496270292,89.15715539947323,34.37225636523266,13.871817383669883,49.230769230769226,26.0,25-50K
1,South Riverdale,70,936.3,143.5,477.1,0.0,125.6,75.3,292.97,65076.0,83491.0,1.0,2.0,South Riverdale,27876.0,537087.0,10.312598177819668,0.6367098248286367,2.1894439208294063,7.163561076604554,52.7536231884058,39.917184265010356,35.97181931205968,31.993369249896393,32.2420223787816,4.8053024026512015,14.540182270091135,21.541010770505384,22.12096106048053,11.888980944490473,0.06001655629139072,57.728968089515135,75.71487774554497,83.3816825528388,24.03646912556983,16.369664318276005,92.10090984284531,22.350993377483444,15.687086092715232,31.15640599001664,20.0,75-100K
2,St.Andrew-Windfields,40,325.6,196.5,466.0,0.0,67.4,33.7,181.53,94271.0,189629.0,1.0,1.0,St.Andrew-Windfields,17812.0,1363202.0,0.0,inf,2.6644727000747945,50.50583657587549,36.420233463035025,13.073929961089494,20.38910505836576,30.817120622568087,48.8715953307393,3.891050583657588,8.093385214007782,13.774319066147859,35.56420233463035,27.159533073929964,0.06842923794712286,17.43190661478599,73.92996108949416,93.07392996108948,25.758754863813227,6.6147859922178975,95.10108864696734,7.226107226107227,29.05982905982906,33.879781420765035,3.0,175-200K
3,Taylor-Massey,61,777.9,76.5,401.7,6.4,82.9,19.1,227.42,40915.0,51242.0,0.0,,Taylor-Massey,15683.0,254151.0,5.471171729696218,2.6033994334277617,2.430719156850589,9.561752988047811,80.95617529880478,9.561752988047811,30.223285486443377,28.22966507177033,41.54704944178629,5.821371610845295,17.22488038277512,29.346092503987236,4.226475279106857,1.1961722488038278,0.2892430278884462,26.39553429027113,93.54066985645932,99.2025518341308,6.299840510366826,0.6379585326953748,87.87878787878788,20.47808764940239,17.131474103585653,44.14342629482072,4.0,50-75K
4,Humber Summit,21,950.4,1087.3,459.1,24.2,225.5,177.2,487.28,57786.0,68431.0,0.0,3.0,Humber Summit,12416.0,354381.0,2.8917910447761197,1.6451612903225807,2.8955223880597014,13.461538461538463,35.769230769230774,50.51282051282051,16.28205128205128,26.025641025641022,57.82051282051282,2.310654685494223,6.290115532734275,16.302952503209244,9.242618741976893,2.952503209242619,0.16944801026957634,15.532734274711167,90.11553273427471,97.17586649550707,9.88446726572529,2.82413350449294,93.58974358974359,10.668380462724937,34.57583547557841,31.66666666666667,23.0,50-75K
5,Humbermede,22,1035.7,437.4,392.4,0.0,173.7,51.5,348.45,51959.0,61290.0,0.0,,Humbermede,15545.0,314721.0,4.044526901669759,1.944954128440367,2.8840445269016697,11.374876360039565,55.2917903066271,33.03659742828882,16.91394658753709,26.607319485657765,55.88526211671612,3.066271018793274,8.90207715133531,18.991097922848663,6.528189910979228,1.8793273986152323,0.2287128712871287,26.607319485657765,85.36102868447081,92.77942631058356,14.737883283877347,7.31948565776459,91.98019801980196,15.62809099901088,23.837784371909,37.524752475247524,8.0,50-75K
6,Centennial Scarborough,133,359.2,142.2,217.0,0.0,7.5,22.5,124.73,102864.0,119301.0,0.0,1.0,Centennial Scarborough,13362.0,491024.0,3.1313358864609144,0.4676258992805755,3.010137418337463,80.13698630136986,1.3698630136986298,18.150684931506852,11.542857142857144,30.742857142857147,57.828571428571436,1.0273972602739727,2.968036529680365,5.707762557077626,31.50684931506849,16.32420091324201,0.03424657534246575,6.841505131128848,64.99429874572407,89.85176738882555,34.89167616875713,10.034207525655644,95.89041095890413,5.24515393386545,30.10262257696693,17.505720823798626,10.0,100-125K
7,Church-Yonge Corridor,75,2804.7,172.3,966.8,3.2,456.3,134.0,756.22,47195.0,65545.0,8.0,1.0,Church-Yonge Corridor,31340.0,410703.0,16.6173861620343,0.2797700520120449,1.4256470909339034,0.0508130081300813,98.2469512195122,1.6260162601626016,58.03253685815964,33.451957295373674,8.540925266903914,10.492886178861788,21.646341463414632,29.7510162601626,10.950203252032518,5.741869918699187,0.08716645489199491,17.267648552564758,54.82478415439309,75.57135601828341,45.14982224479432,24.403250380904012,94.61518923037846,44.63922764227641,11.534552845528454,45.33401325854157,4.0,50-75K
8,Clairlea-Birchmount,120,1045.1,244.6,240.9,3.7,137.1,51.9,287.22,59224.0,72423.0,0.0,3.0,Clairlea-Birchmount,26984.0,387912.0,2.8649386084583903,2.087912087912088,2.831776681708469,33.89189189189189,35.45945945945946,30.64864864864865,20.60573282855598,27.312060573282857,52.19037317468903,2.8123309897241757,8.815575987020011,17.577068685776094,11.57382368848026,3.6776636019469984,0.13567567567567568,41.8918918918919,68.75675675675676,76.81081081081079,30.91891891891892,22.864864864864863,93.24689357104269,13.690476190476188,20.183982683982684,34.361471861471856,17.0,50-75K
9,Cliffcrest,123,834.6,119.2,288.7,0.0,156.9,18.8,236.37,68647.0,85355.0,0.0,1.0,Cliffcrest,15935.0,542218.0,8.155562848703642,0.5814889336016097,2.6148670823761075,57.23962743437765,25.317527519051648,17.273497036409818,25.317527519051648,27.18035563082134,47.332768839966135,3.132938187976291,10.668924640135476,19.64436917866215,17.950889077053343,8.382726502963589,0.08375634517766498,49.66101694915254,83.72881355932203,91.86440677966101,16.35593220338983,8.220338983050848,92.79661016949152,8.044030482641826,29.63590177815411,29.12785774767147,5.0,75-100K
