Neighbourhood,Neighbourhood Id,Home Prices,Mid-Century Highrise Households,Mid-Century Highrise Population,Percent Mid-Century Highrise Households,Percent Mid-Century Highrise Population,Rent Bank Applicants,Social Housing Turnover,Social Housing Units,Social Housing Waiting List
West Humber-Clairville,1,317508,690,1810,6.8,5.3,38,0.3125,952,557
Mount Olive-Silverstone-Jamestown,2,251119,4110,13395,42.9,40.9,41,7,1146,1049
Thistletown-Beaumond Heights,3,414216,430,1260,13.4,12.4,7,1.333333333,447,270
Rexdale-Kipling,4,392271,600,1050,15.2,10,19,4.2,432,186
Elms-Old Rexdale,5,233832,870,2305,27.3,24.1,14,1,463,239
Kingsview Village-The Westway,6,292861,4465,12445,58.2,57.3,55,9.5,367,663
Willowridge-Martingrove-Richview,7,511637,2890,7090,35.5,33.2,24,2,561,316
Humber Heights-Westmount,8,491396,1370,2860,35,27,3,1.8125,669,155
Edenbridge-Humber Valley,9,873268,1550,3630,25.7,24.3,10,0,0,139
Princess-Rosethorn,10,971668,410,1180,11,10.5,4,0,0,41
Eringate-Centennial-West Deane,11,423034,1540,3775,22.3,20.1,3,0,104,101
Markland Wood,12,505350,2050,3935,47.5,37.7,4,0,0,70
Etobicoke West Mall,13,298426,2160,5560,52.7,50.9,12,0,99,149
Islington-City Centre West,14,491678,4085,8890,25.1,23.4,16,5.181818182,1245,489
Kingsway South,15,941223,160,295,4.5,3.2,0,0,0,16
Stonegate-Queensway,16,690949,320,640,3.1,2.6,12,0,129,280
Mimico,17,429941,2430,3880,17.8,14.6,36,8.111111111,947,547
New Toronto,18,460811,385,490,7.4,4.5,18,0.96,1189,389
Long Branch,19,459088,690,1220,15.3,12.7,20,0,106,177
Alderwood,20,504233,350,630,7.5,5.3,2,2.5,84,69
Humber Summit,21,354381,525,1935,13.8,15.4,7,0.444444444,124,204
Humbermede,22,314721,1130,3305,22.1,20.9,16,0.166666667,218,424
Pelmo Park-Humberlea,23,412618,195,520,6.5,6,4,0.333333333,176,149
Black Creek,24,235143,3960,10490,54.7,47.6,27,5.818181818,1432,829
Glenfield-Jane Heights,25,304262,2985,8745,29.8,27.9,30,4.269230769,1587,949
Downsview-Roding-CFB,26,400486,2685,6095,20.3,17.6,36,2.777777778,527,1060
York University Heights,27,359372,4065,9845,39.4,35.5,43,2,511,727
Rustic,28,493442,1225,3355,33.7,33.7,9,3.117647059,1435,349
Maple Leaf,29,540741,725,2150,20.4,21.1,5,0,175,160
Brookhaven-Amesbury,30,352428,2935,7620,45.7,42.8,36,2.777777778,589,603
Yorkdale-Glen Park,31,421045,1130,2730,21.6,18.6,6,7.7,798,292
Englemount-Lawrence,32,577889,1465,2785,18,12.6,9,2.210526316,1688,379
Clanton Park,33,605585,390,755,7,5.2,6,1.363636364,549,256
Bathurst Manor,34,568877,1230,2625,20.3,17,6,0.5,385,232
Westminster-Branson,35,372380,6355,15251,63.2,59.9,15,4.2,530,1077
Newtonbrook West,36,557468,2610,6375,30.3,27.7,1,2,261,670
Willowdale West,37,541247,1070,1630,16,10.9,1,9.25,527,176
Lansing-Westgate,38,646460,880,1765,14.7,12.1,3,0,0,169
Bedford Park-Nortown,39,1191040,1120,1795,12.9,7.7,5,2,236,141
St.Andrew-Windfields,40,1363202,955,2195,14.8,12.2,3,0,0,133
Bridle Path-Sunnybrook-York Mills,41,1849084,0,0,0,0,0,0,0,24
Banbury-Don Mills,42,613647,2570,4755,21.8,17.7,13,1.142857143,304,279
Victoria Village,43,365107,2345,5410,32.2,31.5,15,7.083333333,891,459
Flemingdon Park,44,204104,5120,13890,63.7,62.7,16,13.6,717,1141
Parkwoods-Donalda,45,553698,5355,12920,40.7,37.3,63,0.875,786,712
Pleasant View,46,463859,1250,3095,22.6,19.2,9,0,0,205
Don Valley Village,47,478489,4345,10870,44.6,40.7,16,0.25,156,572
Hillcrest Village,48,484743,1500,2690,22.9,15.2,0,6.875,1028,252
Bayview Woods-Steeles,49,784397,1350,2775,28.6,20.5,2,6.333333333,170,181
Newtonbrook East,50,626626,485,1015,7.8,6.2,1,2.6,300,256
Willowdale East,51,540911,1745,3695,8.9,8.2,3,2,208,424
