,Hood_ID,Neighbourhood,Number of Red Lights

0,14,Islington-City Centre West (14),7

1,116,Steeles (116),6

2,137,Woburn (137),6

3,1,West Humber-Clairville (1),6

4,77,Waterfront Communities-The Island (77),6

5,76,Bay Street Corridor (76),5

6,132,Malvern (132),5

7,26,Downsview-Roding-CFB (26),4

8,73,Moss Park (73),4

9,126,Dorset Park (126),3

10,42,Banbury-Don Mills (42),3

11,21,Humber Summit (21),3

12,17,Mimico (includes Humber Bay Shores) (17),3

13,130,Milliken (130),3

14,120,Clairlea-Birchmount (120),3

15,33,Clanton Park (33),2

16,30,Brookhaven-Amesbury (30),2

17,31,Yorkdale-Glen Park (31),2

18,93,Dovercourt-Wallace Emerson-Junction (93),2

19,34,Bathurst Manor (34),2

20,70,South Riverdale (70),2

21,36,Newtonbrook West (36),2

22,47,Don Valley Village (47),2

23,96,Casa Loma (96),2

24,63,The Beaches (63),2

25,16,Stonegate-Queensway (16),2

26,85,South Parkdale (85),2

27,138,Eglinton East (138),2

28,118,Tam O'Shanter-Sullivan (118),2

29,129,Agincourt North (129),2

30,3,Thistletown-Beaumond Heights (3),2

31,86,Roncesvalles (86),2

32,7,Willowridge-Martingrove-Richview (7),2

33,131,Rouge (131),2

34,133,Centennial Scarborough (133),1

35,122,Birchcliffe-Cliffside (122),1

36,55,Thorncliffe Park (55),1

37,113,Weston (113),1

38,52,Bayview Village (52),1

39,87,High Park-Swansea (87),1

40,117,L'Amoreaux (117),1

41,32,Englemount-Lawrence (32),1

42,115,Mount Dennis (115),1

43,103,Lawrence Park South (103),1

44,27,York University Heights (27),1

45,75,Church-Yonge Corridor (75),1

46,119,Wexford/Maryvale (119),1

47,80,Palmerston-Little Italy (80),1

48,136,West Hill (136),1

49,39,Bedford Park-Nortown (39),1

50,134,Highland Creek (134),1

51,6,Kingsview Village-The Westway (6),1

52,127,Bendale (127),1

53,65,Greenwood-Coxwell (65),1

54,28,Rustic (28),1

55,51,Willowdale East (51),1

56,101,Forest Hill South (101),1

57,19,Long Branch (19),1

58,54,O'Connor-Parkview (54),1

59,10,Princess-Rosethorn (10),1

60,40,St.Andrew-Windfields (40),1

61,111,Rockcliffe-Smythe (111),1

62,78,Kensington-Chinatown (78),1

63,12,Markland Wood (12),1

64,25,Glenfield-Jane Heights (25),1

65,49,Bayview Woods-Steeles (49),1

66,35,Westminster-Branson (35),1

67,38,Lansing-Westgate (38),1

68,90,Junction Area (90),1

69,24,Black Creek (24),1

70,82,Niagara (82),1

71,8,Humber Heights-Westmount (8),1

72,128,Agincourt South-Malvern West (128),1

73,72,Regent Park (72),1

74,110,Keelesdale-Eglinton West (110),1

75,46,Pleasant View (46),1

76,123,Cliffcrest (123),1
