Bedroom,Bathroom,Den,Address,Lat,Long,Price
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,"$2,150.00"
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,"$1,950.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
1,1,0,"87 Jameson Avenue, Toronto, ON, M6K 2W8",43.6348903,-79.4346541,"$1,729.00"
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,"$1,685.00"
1,1,0,"25 Telegram Mews, Toronto, ON, M5V 3Z2",43.6409179,-79.3939821,"$1,900.00"
1,1,0,"560 Front St W, toronto, ON, M5V 0L5",43.6413078,-79.4000933,"$1,900.00"
1,1,1,"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada",43.6400685,-79.3999604,"$2,400.00"
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$1,750.00"
2,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$2,000.00"
1,1,0,"555 Yonge St, Toronto, ON M4Y 3A6, Canada",43.6647233,-79.3840836,"$2,200.00"
1,1,1,"M5J, Canada",43.6408157,-79.3817523,"$2,350.00"
1,1,0,"295 Adelaide St W, Toronto, ON M5V 0L4, Canada",43.6476273,-79.3904081,"$2,650.00"
1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.6567414,-79.3699948,"$1,799.00"
1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.6567414,-79.3699948,"$1,899.00"
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,"$1,950.00"
