,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Toronto,"109,480","78,378","87,993","68,627"
Agincourt/Malvern,"80,147","68,108","71,025","62,304"
Ajax/Pickering,"115,659","98,363","94,805","84,664"
Alderwood,"102,434","83,249","84,163","73,039"
Aurora,"147,604","106,761","113,594","90,592"
Banbury-Don Mills/York Mills,"245,866","90,620","168,106","76,046"
Bathurst Manor,"95,977","69,634","79,185","62,172"
Bay Street Corridor,"85,657","48,737","65,786","44,028"
Bayview Village,"96,616","67,355","76,983","58,341"
Bayview Woods-Steeles/Hillcrest Village,"96,267","74,082","79,794","65,844"
Bedford Park-Nortown,"252,266","116,672","175,773","98,522"
Beechborough-Greenbrook,"62,740","45,211","54,624","42,083"
Bendale,"71,591","60,292","62,300","54,318"
Birchcliffe-Cliffside,"103,715","73,216","82,242","63,646"
Black Creek,"63,139","51,999","57,082","48,751"
Bradford/West Gwillimbury/New Tecumseth,"101,517","89,301","84,617","76,494"
Brampton (East),"99,581","87,156","86,211","77,658"
Brampton (West),"98,329","87,335","84,188","76,862"
Briar Hill-Belgravia,"71,541","60,899","62,405","53,943"
Broadview North,"74,786","52,731","62,096","47,648"
Bronte,"136,796","104,867","105,737","87,878"
Brookhaven-Amesbury,"67,742","52,988","59,434","48,784"
Cabbagetown-South St. James Town,"97,459","61,184","75,976","52,865"
Caledon,"137,519","113,664","109,042","96,428"
Caledonia-Fairbank,"76,713","66,048","66,697","58,691"
Casa Loma,"285,999","93,022","199,378","77,490"
Churchill Meadows/Erin Mills,"118,999","96,578","97,453","83,181"
Church-Yonge Corridor,"77,235","56,366","62,037","49,285"
Clairlea-Birchmount,"80,331","68,524","69,513","61,368"
Clanton Park,"101,821","69,997","83,263","62,017"
Clarkson/Lorne Park,"143,461","91,601","109,484","78,436"
Cliffcrest,"94,658","75,291","77,040","66,088"
Cooksville,"89,098","65,001","74,358","58,225"
Crescent Town,"57,135","46,669","50,794","43,544"
Danforth Village-East York,"100,060","81,253","81,962","69,968"
Don Valley Village/Pleasant View,"82,627","65,714","70,731","59,368"
Dorset Park,"68,617","57,986","60,703","52,823"
Dovercourt/Davenport/Junction,"80,325","65,167","68,435","58,332"
Downsview,"69,508","56,053","61,524","51,722"
Dufferin Grove/Little Portugal,"79,651","63,479","66,579","55,924"
East End-Danforth,"98,165","69,026","78,737","60,377"
East Gwillimbury/Newmarket,"118,812","98,005","96,057","83,782"
Edenbridge-Humber Valley,"203,189","84,113","144,418","71,988"
Eglinton East,"64,507","53,081","57,703","49,086"
Elms-Old Rexdale,"71,345","59,576","63,156","55,308"
Englemount-Lawrence,"93,525","58,003","77,541","52,174"
Eringate-Centennial-West Deane,"103,931","88,872","86,744","77,502"
Etobicoke West Mall,"98,961","72,429","80,527","62,970"
Flemingdon Park,"59,208","48,917","52,914","45,910"
Forest Hill North,"159,724","70,920","117,830","61,360"
Forest Hill South,"473,219","119,484","327,638","98,525"
Georgina,"92,688","81,554","77,888","70,480"
Guildwood,"106,787","87,538","87,898","75,895"
Henry Farm,"70,357","56,644","59,852","51,098"
High Park North/Junction,"102,853","73,547","82,111","63,424"
High Park-Swansea,"125,669","82,753","96,836","69,304"
Humber Heights-Westmount,"91,737","68,996","76,669","60,653"
Humewood-Cedarvale,"112,354","61,110","86,327","54,557"
Ionview,"63,825","53,177","56,645","49,000"
Islington/City Centre North,"98,226","69,274","79,046","60,262"
Islington/City Centre South,"102,170","80,395","82,589","68,401"
Keelesdale-Eglinton West,"70,938","57,780","62,023","53,029"
