,Hood_ID,Neighbourhood,Number of Stores
0,76,bay street corridor,26
1,77,waterfront communities-the island,19
2,14,islington-city centre west,8
3,75,church-yonge corridor,8
4,95,annex,7
5,104,mount pleasant west,6
6,82,niagara,5
7,63,the beaches,4
8,98,rosedale-moore park,4
9,55,thorncliffe park,3
10,27,york university heights,3
11,73,moss park,3
12,31,yorkdale-glen park,3
13,16,stonegate-queensway,3
14,42,banbury-don mills,3
15,126,dorset park,3
16,52,bayview village,3
17,56,leaside-bennington,3
18,51,willowdale east,2
19,12,markland wood,2
20,39,bedford park-nortown,2
21,17,mimico,2
22,78,kensington-chinatown,2
23,62,east end-danforth,2
24,84,little portugal,2
25,103,lawrence park south,2
26,67,playter estates-danforth,2
27,101,forest hill south,2
28,122,birchcliffe-cliffside,1
29,70,south riverdale,1
30,36,newtonbrook west,1
31,127,bendale,1
32,40,st.andrew-windfields,1
33,58,old east york,1
34,119,wexford/maryvale,1
35,37,willowdale west,1
36,105,lawrence park north,1
37,47,don valley village,1
38,96,casa loma,1
39,93,dovercourt-wallace emerson-junction,1
40,136,west hill,1
41,88,high park north,1
42,89,runnymede-bloor west village,1
43,66,danforth,1
44,85,south parkdale,1
45,97,yonge-st.clair,1
46,86,roncesvalles,1
47,130,milliken,1
48,34,bathurst manor,1
49,102,forest hill north,1
50,15,kingsway south,1
51,139,scarborough village,1
52,1,west humber-clairville,1
53,111,rockcliffe-smythe,1
54,81,trinity-bellwoods,1
55,10,princess-rosethorn,1
56,6,kingsview village-the westway,1
57,65,greenwood-coxwell,1
58,100,yonge-eglinton,1
59,19,long branch,1
60,50,newtonbrook east,1
61,118,tam o'shanter-sullivan,1
62,83,dufferin grove,1
63,108,briar hill-belgravia,1
64,131,rouge,1
65,94,wychwood,1
66,90,junction area,1
67,33,clanton park,1
68,128,agincourt south-malvern west,1
69,11,eringate-centennial-west deane,1
70,9,edenbridge-humber valley,1
71,32,englemount-lawrence,1
